GROWER,FIELD,plot_name1,plot_name2,E,F,G,H,I,J,K,WKT,clay_content_percentage
Whitaker Farms,Jesse James 36,,,,,,,,,,"POLYGON ((-91.410028 33.541532, -91.410007 33.541547, -91.409937 33.541577, -91.409817 33.541612, -91.409712 33.541628, -91.40958 33.541637, -91.409435 33.54163, -91.409283 33.541642, -91.409122 33.541637, -91.408962 33.541637, -91.408795 33.54164, -91.408622 33.541647, -91.408443 33.541648, -91.40826 33.541645, -91.408078 33.541645, -91.407897 33.541647, -91.407713 33.541647, -91.407535 33.541652, -91.407352 33.541653, -91.407165 33.541652, -91.406975 33.541652, -91.406792 33.541652, -91.406625 33.541652, -91.406495 33.541637, -91.406373 33.541633, -91.406273 33.541632, -91.40618 33.54164, -91.406093 33.541642, -91.406022 33.541645, -91.405948 33.54162, -91.405862 33.541608, -91.4058 33.541595, -91.405742 33.541563, -91.405743 33.541502, -91.405755 33.541452, -91.405788 33.541387, -91.405815 33.541325, -91.405842 33.541258, -91.405867 33.541195, -91.405875 33.54113, -91.405878 33.541062, -91.40588 33.540998, -91.405875 33.540932, -91.405867 33.540863, -91.40586 33.540793, -91.405847 33.540723, -91.405843 33.540652, -91.405832 33.540575, -91.405818 33.540495, -91.405803 33.540415, -91.405787 33.540337, -91.405775 33.540258, -91.405773 33.54018, -91.40579 33.540107, -91.405855 33.540057, -91.405908 33.540023, -91.405972 33.540003, -91.406055 33.53999, -91.406133 33.53998, -91.406208 33.539975, -91.406283 33.539963, -91.406325 33.539935, -91.406363 33.539892, -91.406385 33.539842, -91.4064 33.539783, -91.406407 33.539717, -91.406417 33.539647, -91.40643 33.53958, -91.406443 33.539517, -91.406448 33.539465, -91.406453 33.5394, -91.406457 33.539363, -91.406462 33.5393, -91.406465 33.539242, -91.406472 33.539175, -91.406482 33.539102, -91.406498 33.539022, -91.406518 33.538938, -91.406538 33.538855, -91.40657 33.53877, -91.4066 33.538685, -91.406635 33.538608, -91.40668 33.538543, -91.406723 33.538493, -91.406773 33.53847, -91.406833 33.538438, -91.40688 33.538415, -91.40691 33.53838, -91.406928 33.538318, -91.40694 33.538275, -91.406952 33.538222, -91.406967 33.538167, -91.406983 33.538108, -91.406995 33.538043, -91.407012 33.537982, -91.407037 33.537925, -91.407068 33.537878, -91.40711 33.537843, -91.407163 33.537817, -91.407217 33.537795, -91.407277 33.537778, -91.407337 33.537763, -91.407395 33.53776, -91.407458 33.537763, -91.407512 33.537767, -91.407577 33.537767, -91.407645 33.537763, -91.407713 33.537767, -91.40779 33.53777, -91.407872 33.53777, -91.407955 33.537773, -91.408045 33.537777, -91.40814 33.537783, -91.408233 33.537797, -91.408327 33.537813, -91.408415 33.537825, -91.408507 33.537827, -91.4086 33.537828, -91.408693 33.537827, -91.408788 33.537827, -91.408883 33.537828, -91.408978 33.537827, -91.409075 33.537832, -91.409173 33.537835, -91.409268 33.537838, -91.409365 33.53784, -91.409462 33.537842, -91.409558 33.537845, -91.409655 33.537848, -91.409748 33.53785, -91.409833 33.53785, -91.40991 33.53785, -91.409977 33.537853, -91.410038 33.537863, -91.410115 33.537893, -91.410165 33.537923, -91.4102 33.53796, -91.410212 33.538, -91.410233 33.538052, -91.410028 33.541532))",
Whitaker Farms,1,,,,,,,,,,"POLYGON ((-91.348061 33.370964, -91.348027 33.373447, -91.347509 33.373494, -91.343892 33.373392, -91.343917 33.37067, -91.343976 33.370302, -91.344106 33.370282, -91.344852 33.370455, -91.345753 33.370683, -91.346019 33.370926, -91.346316 33.370984, -91.347598 33.370827, -91.347935 33.370788, -91.348061 33.370964))",
Whitaker Farms,2,,,,,,,,,,"POLYGON ((-91.352794 33.370229, -91.351727 33.370197, -91.351576 33.37014, -91.351468 33.370084, -91.351212 33.369788, -91.350761 33.369435, -91.350223 33.369043, -91.349885 33.368509, -91.349302 33.367075, -91.349264 33.366763, -91.349423 33.366436, -91.349834 33.364284, -91.350075 33.364233, -91.352364 33.364172, -91.352865 33.364178, -91.353056 33.364455, -91.35313 33.365133, -91.353112 33.366065, -91.35295 33.366575, -91.353188 33.366669, -91.353207 33.366834, -91.353103 33.36771, -91.353108 33.368625, -91.353143 33.369046, -91.352855 33.369298, -91.352929 33.37003, -91.352794 33.370229))",
Whitaker Farms,3,,,,,,,,,,"POLYGON ((-91.348668 33.366315, -91.344228 33.366194, -91.344034 33.36611, -91.344062 33.365926, -91.344101 33.363857, -91.344103 33.363734, -91.344444 33.3638, -91.349031 33.363903, -91.349543 33.36395, -91.349587 33.364197, -91.34923 33.366302, -91.348668 33.366315))",
Whitaker Farms,01 Beouf River,,,,,,,,,,"POLYGON ((-91.363483 33.431217, -91.3637 33.427932, -91.363711 33.42784, -91.363726 33.427799, -91.363757 33.427762, -91.363803 33.427753, -91.363849 33.427752, -91.363944 33.427753, -91.369895 33.427988, -91.369971 33.427996, -91.370008 33.428005, -91.370034 33.428025, -91.370063 33.428058, -91.370069 33.428105, -91.369931 33.431346, -91.369926 33.431429, -91.369921 33.4315, -91.36991 33.431558, -91.369889 33.431614, -91.369851 33.431681, -91.369805 33.431722, -91.369687 33.431742, -91.369591 33.43174, -91.364234 33.431564, -91.364033 33.431552, -91.363727 33.431517, -91.363644 33.431505, -91.36359 33.431476, -91.363542 33.431445, -91.363515 33.431405, -91.363483 33.43129, -91.363483 33.431217))",
Whitaker Farms,02 Beouf River,,,,,,,,,,"POLYGON ((-91.363775 33.427686, -91.363749 33.427672, -91.363718 33.427641, -91.363708 33.427588, -91.363948 33.424317, -91.363964 33.424154, -91.363991 33.42398, -91.364002 33.423955, -91.364024 33.423938, -91.364058 33.423931, -91.370048 33.424177, -91.37013 33.424186, -91.370204 33.424206, -91.370266 33.424241, -91.370295 33.42427, -91.370322 33.424315, -91.370333 33.424365, -91.370328 33.424711, -91.370272 33.425243, -91.370194 33.425841, -91.370125 33.426584, -91.370116 33.426716, -91.370106 33.427776, -91.370101 33.427817, -91.370086 33.427852, -91.370066 33.427881, -91.370031 33.427908, -91.369992 33.427925, -91.369924 33.427935, -91.363802 33.427695, -91.363775 33.427686))",
Whitaker Farms,03 Beouf River,,,,,,,,,,"POLYGON ((-91.361479 33.431374, -91.361418 33.431368, -91.36139 33.431359, -91.361368 33.431344, -91.361358 33.43133, -91.361349 33.4313, -91.361455 33.42981, -91.361478 33.429427, -91.361547 33.428505, -91.361602 33.427597, -91.36176 33.425316, -91.361818 33.424401, -91.361841 33.424077, -91.361849 33.424038, -91.361863 33.424006, -91.36188 33.423989, -91.361921 33.42397, -91.361952 33.423966, -91.363406 33.424034, -91.363532 33.424043, -91.363604 33.424054, -91.363827 33.424108, -91.363875 33.424127, -91.363903 33.424151, -91.363923 33.424191, -91.363924 33.424271, -91.363875 33.424951, -91.363805 33.425817, -91.36374 33.426801, -91.363632 33.428318, -91.363554 33.429344, -91.363444 33.430932, -91.363402 33.431289, -91.363386 33.431362, -91.363368 33.431407, -91.363354 33.43143, -91.36332 33.431457, -91.363285 33.431468, -91.363213 33.431467, -91.362271 33.431413, -91.361479 33.431374))",
Whitaker Farms,04 Beouf River,,,,,,,,,,"POLYGON ((-91.357595 33.431113, -91.357568 33.431096, -91.357547 33.431071, -91.357539 33.431053, -91.357489 33.430506, -91.357423 33.429988, -91.357415 33.429864, -91.357432 33.429773, -91.357464 33.429702, -91.357645 33.429464, -91.357679 33.429407, -91.357707 33.429349, -91.357727 33.429289, -91.357789 33.428982, -91.357848 33.42879, -91.357891 33.428608, -91.3579 33.428529, -91.357899 33.428365, -91.357882 33.428234, -91.357819 33.427903, -91.357793 33.427739, -91.357791 33.42766, -91.357805 33.427569, -91.357822 33.427526, -91.357845 33.427485, -91.357899 33.427424, -91.358158 33.427227, -91.358384 33.427015, -91.358481 33.42693, -91.358809 33.426671, -91.358895 33.426585, -91.358954 33.426504, -91.358983 33.426445, -91.359017 33.426338, -91.3591 33.425995, -91.35913 33.425886, -91.359181 33.425745, -91.359306 33.425462, -91.359345 33.425357, -91.359377 33.425251, -91.359467 33.424874, -91.359504 33.424757, -91.359634 33.424433, -91.359679 33.424341, -91.359837 33.424054, -91.359895 33.423969, -91.359947 33.423925, -91.359988 33.423905, -91.360035 33.423893, -91.360087 33.423886, -91.360236 33.423887, -91.360601 33.423901, -91.361691 33.423952, -91.36175 33.423957, -91.361782 33.423964, -91.36181 33.423979, -91.361835 33.424011, -91.361843 33.424035, -91.361846 33.424082, -91.361629 33.427192, -91.361546 33.428498, -91.361376 33.43096, -91.361352 33.431225, -91.361337 33.431286, -91.361312 33.431319, -91.361287 33.431336, -91.361256 33.431349, -91.361222 33.431354, -91.360098 33.431298, -91.359438 33.431255, -91.358761 33.431229, -91.358208 33.431198, -91.357962 33.431179, -91.357789 33.431161, -91.357708 33.431148, -91.357595 33.431113))",
Whitaker Farms,05 Beouf River,,,,,,,,,,"POLYGON ((-91.356536 33.42368, -91.356552 33.423654, -91.356573 33.423637, -91.356594 33.423629, -91.356661 33.423624, -91.358091 33.423679, -91.358742 33.42371, -91.359353 33.423733, -91.359437 33.423741, -91.359487 33.423753, -91.359518 33.423767, -91.359535 33.423782, -91.35955 33.423808, -91.359552 33.423823, -91.359431 33.424096, -91.359316 33.424336, -91.359071 33.424787, -91.359017 33.424899, -91.358867 33.425319, -91.358727 33.425634, -91.3587 33.425719, -91.358655 33.425952, -91.35861 33.426101, -91.358577 33.426193, -91.358528 33.426296, -91.358417 33.426448, -91.358361 33.42651, -91.358289 33.426579, -91.358061 33.426755, -91.357835 33.42694, -91.357782 33.426986, -91.357669 33.427102, -91.357616 33.427169, -91.35756 33.427265, -91.35752 33.42738, -91.357492 33.427507, -91.357479 33.427547, -91.357456 33.42757, -91.357446 33.427572, -91.357423 33.427572, -91.35733 33.427523, -91.357189 33.42746, -91.357137 33.427431, -91.35706 33.427373, -91.357017 33.427326, -91.356986 33.427281, -91.356977 33.427248, -91.356539 33.423736, -91.356539 33.42374, -91.356536 33.42368))",
Whitaker Farms,06 Beouf River,,,,,,,,,,"POLYGON ((-91.356989 33.427281, -91.357012 33.427321, -91.35705 33.427362, -91.357099 33.427404, -91.357181 33.427456, -91.357334 33.427525, -91.357423 33.427581, -91.357455 33.427613, -91.357468 33.427639, -91.357471 33.427685, -91.357434 33.427841, -91.357391 33.427956, -91.357293 33.428139, -91.357098 33.428418, -91.35704 33.428523, -91.35684 33.429091, -91.35679 33.429279, -91.356772 33.429375, -91.356758 33.429545, -91.356741 33.430252, -91.3567 33.430907, -91.356687 33.430986, -91.356679 33.431005, -91.35666 33.431028, -91.356635 33.431046, -91.356603 33.431058, -91.356271 33.431087, -91.356041 33.431099, -91.355735 33.4311, -91.355144 33.431084, -91.354839 33.431067, -91.354119 33.431011, -91.354011 33.430995, -91.353961 33.430982, -91.353891 33.430958, -91.353828 33.430931, -91.353792 33.43091, -91.353738 33.430862, -91.353719 33.430831, -91.353698 33.430758, -91.353682 33.430696, -91.353678 33.430635, -91.353752 33.423744, -91.353768 33.423669, -91.353802 33.423612, -91.353858 33.42357, -91.353881 33.423558, -91.353983 33.423526, -91.35404 33.423518, -91.355822 33.423585, -91.356455 33.42362, -91.356484 33.423627, -91.356503 33.423639, -91.356523 33.423664, -91.356542 33.423743, -91.356989 33.427281))",
Whitaker Farms,07 Beouf River,,,,,,,,,,"POLYGON ((-91.364133 33.423912, -91.36419 33.423915, -91.364137 33.423913, -91.364104 33.423905, -91.364062 33.423884, -91.36403 33.423854, -91.364008 33.423822, -91.363998 33.423798, -91.363992 33.423759, -91.363993 33.423694, -91.364079 33.422606, -91.364138 33.421606, -91.364152 33.421536, -91.364166 33.421516, -91.364202 33.421493, -91.36423 33.421487, -91.364409 33.421486, -91.367502 33.421623, -91.369923 33.421715, -91.370188 33.421721, -91.37023 33.421728, -91.370261 33.421739, -91.37029 33.421755, -91.37033 33.421792, -91.370353 33.42183, -91.370368 33.421874, -91.370377 33.421935, -91.370307 33.423811, -91.370297 33.423942, -91.370281 33.424013, -91.370251 33.424076, -91.37021 33.424118, -91.370157 33.424145, -91.370106 33.424153, -91.368038 33.424079, -91.364133 33.423912))",
Whitaker Farms,08 Beouf River,,,,,,,,,,"POLYGON ((-91.364207 33.421463, -91.364177 33.421448, -91.364155 33.421424, -91.364147 33.421392, -91.36421 33.420555, -91.364217 33.420502, -91.364227 33.420468, -91.364267 33.42042, -91.364344 33.420363, -91.36461 33.420086, -91.365035 33.419636, -91.365052 33.419603, -91.365047 33.419565, -91.36503 33.419544, -91.364796 33.41939, -91.364636 33.419294, -91.364494 33.419196, -91.364469 33.419175, -91.364458 33.419149, -91.364457 33.41913, -91.364463 33.419112, -91.364476 33.419095, -91.364515 33.419065, -91.364592 33.419029, -91.364658 33.419011, -91.364732 33.419001, -91.364794 33.418998, -91.370267 33.419201, -91.370343 33.419211, -91.370389 33.419233, -91.370421 33.419258, -91.370457 33.419306, -91.370473 33.419353, -91.370478 33.419394, -91.37047 33.419699, -91.370437 33.420414, -91.370398 33.421465, -91.37039 33.42151, -91.370375 33.42156, -91.370338 33.421625, -91.370286 33.421676, -91.370234 33.421701, -91.370196 33.42171, -91.36989 33.421701, -91.36432 33.421472, -91.364207 33.421463))",
Whitaker Farms,09 Beouf River,,,,,,,,,,"POLYGON ((-91.37025 33.416723, -91.370334 33.416734, -91.370388 33.416748, -91.370442 33.416781, -91.370487 33.416838, -91.370501 33.416865, -91.370508 33.416898, -91.3705 33.417017, -91.370518 33.417094, -91.370538 33.417226, -91.370468 33.418991, -91.37046 33.41905, -91.370439 33.419093, -91.370406 33.419135, -91.37036 33.419169, -91.370301 33.419182, -91.364839 33.418982, -91.364767 33.41898, -91.364711 33.418983, -91.364648 33.418993, -91.364523 33.419031, -91.364463 33.41906, -91.364393 33.419111, -91.364372 33.41912, -91.364298 33.419106, -91.364265 33.419111, -91.364237 33.419136, -91.363521 33.419907, -91.364078 33.420281, -91.364152 33.420324, -91.364185 33.420352, -91.364192 33.420373, -91.363942 33.423671, -91.36392 33.423734, -91.363893 33.423769, -91.363835 33.423812, -91.36375 33.423845, -91.36367 33.423863, -91.363558 33.423872, -91.362697 33.423843, -91.360144 33.423729, -91.359916 33.423722, -91.359798 33.423723, -91.359776 33.42372, -91.359757 33.423713, -91.359734 33.423691, -91.359727 33.423675, -91.359732 33.423657, -91.360019 33.423372, -91.366097 33.417004, -91.366143 33.416945, -91.366183 33.416892, -91.366199 33.416869, -91.366212 33.416839, -91.366237 33.416763, -91.366262 33.416723, -91.366294 33.4167, -91.366326 33.41669, -91.366356 33.416687, -91.366395 33.416687, -91.37025 33.416723))",
Whitaker Farms,10 Beouf River,,,,,,,,,,"POLYGON ((-91.366133 33.416869, -91.366142 33.416894, -91.36612 33.416923, -91.366084 33.416967, -91.359769 33.423567, -91.359724 33.423612, -91.359678 33.423651, -91.359631 33.423682, -91.359572 33.423706, -91.359518 33.423715, -91.359417 33.423715, -91.358903 33.423691, -91.358832 33.423684, -91.358797 33.423676, -91.358776 33.423656, -91.358773 33.423633, -91.358776 33.423611, -91.358755 33.41699, -91.358757 33.416945, -91.358765 33.416918, -91.35878 33.416898, -91.358806 33.416888, -91.35883 33.416885, -91.361272 33.41683, -91.362244 33.416822, -91.36606 33.41685, -91.366105 33.416857, -91.366133 33.416869))",
Whitaker Farms,11 Beouf River,,,,,,,,,,"POLYGON ((-91.358773 33.423499, -91.358779 33.423565, -91.358761 33.423652, -91.358739 33.423674, -91.358708 33.423684, -91.355605 33.423557, -91.355209 33.423544, -91.35431 33.423504, -91.354018 33.423484, -91.353923 33.423463, -91.353845 33.423431, -91.353792 33.4234, -91.353753 33.423369, -91.353729 33.423339, -91.35371 33.423307, -91.353694 33.423193, -91.35369 33.423064, -91.353735 33.419077, -91.353742 33.417865, -91.353746 33.417805, -91.353757 33.417746, -91.353806 33.417613, -91.353824 33.417361, -91.353842 33.41729, -91.353881 33.417181, -91.353965 33.417049, -91.354002 33.417021, -91.354052 33.417008, -91.355375 33.417002, -91.356129 33.416987, -91.356464 33.416986, -91.356619 33.416979, -91.356997 33.416951, -91.357782 33.416927, -91.358652 33.416905, -91.358685 33.416915, -91.358707 33.41694, -91.358723 33.416988, -91.35873 33.417051, -91.358773 33.423499))",
Whitaker Farms,12 Beouf River,,,,,,,,,,"POLYGON ((-91.368023 33.41196, -91.368207 33.411361, -91.368224 33.411341, -91.368248 33.411325, -91.368295 33.411308, -91.368366 33.411301, -91.370496 33.411298, -91.370561 33.411304, -91.370618 33.411332, -91.37065 33.411363, -91.370678 33.411419, -91.370689 33.411463, -91.370695 33.411556, -91.370568 33.416364, -91.370563 33.416428, -91.370552 33.416491, -91.370536 33.416539, -91.37051 33.416583, -91.370484 33.416615, -91.370454 33.416642, -91.370411 33.416667, -91.370374 33.41668, -91.370327 33.416689, -91.370287 33.416692, -91.370022 33.416683, -91.369469 33.416676, -91.368451 33.416668, -91.366931 33.416648, -91.366625 33.41665, -91.366589 33.416649, -91.366557 33.416638, -91.366535 33.416615, -91.366531 33.416594, -91.366539 33.416555, -91.366586 33.41641, -91.366599 33.416355, -91.366612 33.416222, -91.366608 33.416094, -91.366538 33.415454, -91.366538 33.415279, -91.36655 33.415177, -91.366568 33.415076, -91.366601 33.414947, -91.366645 33.414804, -91.366694 33.414664, -91.366798 33.414402, -91.367393 33.413167, -91.367711 33.412569, -91.367883 33.412269, -91.36799 33.412047, -91.368023 33.41196))",
